Date	WHITBYCGS	PICKERINGA-G1	PICKERINGA-G3	PICKERINGB-G5	PICKERINGB-G6	PICKERINGB-G8	BECK1	BECK2	DECEWFALLS	GRAND VALLEY 3	GRANDWF	SUM	Humidity	Pressure	Temperature
1/4/2017 3:00	57	513	507	500	513	523	137	1019	70	38	0	3877	93	998	3.2
1/4/2017 4:00	57	513	506	499	513	523	136	983	70	38	0	3838	93	997	2.35
1/4/2017 5:00	57	513	507	497	513	523	137	1024	70	36	0	3877	100	997	2.42
1/4/2017 6:00	57	513	507	499	513	523	140	998	68	35	0	3853	100	996	2.39
1/4/2017 7:00	57	513	506	498	513	523	140	1027	67	38	0	3882	93	997	2.4
1/4/2017 8:00	57	512	507	498	513	523	140	1036	67	39	0	3892	100	997	2.13
1/4/2017 9:00	57	513	507	498	512	522	139	1057	68	39	1	3913	93	996	2.6
1/4/2017 10:00	57	512	505	496	511	522	139	1090	70	39	40	3981	86	996	3.16
1/4/2017 11:00	57	512	505	495	510	521	139	1070	70	39	9	3927	89	997	2.62
1/4/2017 12:00	57	512	506	498	511	522	139	1079	72	39	8	3943	93	996	2.65
1/4/2017 13:00	57	512	505	500	510	519	139	1055	73	39	43	3952	80	997	2.93
1/4/2017 14:00	57	511	504	499	510	521	138	1097	73	39	114	4063	83	998	2.37
1/4/2017 15:00	57	512	505	501	510	521	139	1037	73	39	139	4033	74	996	2.36
1/4/2017 16:00	57	512	506	502	509	521	139	1059	73	39	136	4053	69	997	1.75
1/4/2017 17:00	56	512	505	504	510	519	139	1187	73	39	142	4186	68	999	-0.41
1/4/2017 18:00	56	512	505	503	511	521	138	1084	73	39	141	4083	63	1000	-2.02
1/4/2017 19:00	56	512	506	505	511	521	138	1104	73	39	140	4105	49	1001	-2.83
1/4/2017 20:00	56	513	507	505	511	522	138	1100	72	39	142	4105	53	1002	-3.85
1/4/2017 21:00	56	513	506	506	510	522	145	1132	72	39	142	4143	58	1003	-4.67
1/4/2017 22:00	56	512	8	505	511	519	176	1227	70	39	139	3762	57	1003	-5.26
1/4/2017 23:00	57	513	0	505	511	522	135	1121	68	39	141	3612	62	1003	-6.02
1/5/2017 0:00	57	513	0	507	513	522	136	1056	67	39	134	3544	67	1004	-6.25
1/5/2017 1:00	57	512	0	507	512	523	137	989	66	39	126	3468	61	1003	-6.81
1/5/2017 2:00	57	513	0	506	513	523	140	996	66	39	109	3462	67	1004	-7.24
1/5/2017 3:00	57	512	0	507	513	523	140	1016	64	39	31	3402	73	1005	-7.45
1/5/2017 4:00	57	512	0	506	512	523	140	1033	64	38	34	3419	67	1006	-7.88
1/5/2017 5:00	56	512	0	507	513	518	139	1024	64	39	62	3434	67	1006	-7.86
1/5/2017 6:00	56	512	0	505	513	515	139	995	64	38	81	3418	67	1006	-7.86
1/5/2017 7:00	57	512	0	507	513	514	139	1014	64	38	118	3476	67	1005	-7.86
1/5/2017 8:00	57	513	0	507	513	517	200	1342	65	38	93	3845	67	1007	-7.12
1/5/2017 9:00	57	511	0	506	513	523	314	1272	65	38	98	3897	67	1008	-6.89
1/5/2017 10:00	57	512	0	507	512	521	246	1354	66	36	122	3933	67	1008	-6.86
1/5/2017 11:00	57	512	0	506	511	522	297	1352	71	33	125	3986	73	1009	-6.61
1/5/2017 12:00	57	512	0	506	512	522	222	1349	72	28	100	3880	67	1010	-6.62
1/5/2017 13:00	57	513	0	507	513	523	281	1369	73	31	70	3937	67	1010	-7.66
1/5/2017 14:00	57	513	0	508	513	523	273	1360	73	27	52	3899	67	1011	-7.67
1/5/2017 15:00	57	512	0	507	512	523	264	1362	73	22	40	3872	67	1010	-7.44
1/5/2017 16:00	57	512	0	507	513	521	134	1103	73	15	19	3454	62	1011	-6.85
1/5/2017 17:00	57	513	0	506	513	523	264	1316	72	16	16	3796	61	1011	-6.63
1/5/2017 18:00	57	513	0	507	513	523	202	1375	72	20	62	3844	57	1009	-6.23
1/5/2017 19:00	57	513	0	507	513	523	249	1404	71	26	61	3924	62	1009	-6.22
1/5/2017 20:00	57	512	0	507	512	523	92	1163	71	33	55	3525	67	1011	-6.26
1/5/2017 21:00	57	513	0	507	513	523	145	1174	71	32	58	3593	62	1011	-6.45
1/5/2017 22:00	57	512	0	507	513	523	147	1184	69	35	63	3610	67	1011	-7.03
1/5/2017 23:00	57	513	0	507	513	523	174	1219	68	35	70	3679	66	1010	-7.41
1/6/2017 0:00	57	513	0	505	512	521	234	1350	68	35	54	3849	66	1011	-7.83
1/6/2017 1:00	57	513	0	507	513	523	218	1282	68	34	65	3780	67	1012	-7.84
1/6/2017 2:00	57	513	0	507	513	523	150	1384	68	28	71	3814	61	1012	-8.44
1/6/2017 3:00	57	512	0	507	514	523	157	1254	68	27	85	3704	61	1013	-8.84
1/6/2017 4:00	57	513	0	508	514	523	150	1272	68	31	104	3740	66	1013	-10.1
1/6/2017 5:00	57	512	0	505	513	523	138	1009	68	32	76	3433	61	1014	-10.1
1/6/2017 6:00	57	513	0	507	514	521	185	1182	68	26	61	3634	66	1014	-11.1
1/6/2017 7:00	57	513	0	506	514	523	282	1256	68	22	66	3807	66	1015	-11.1
1/6/2017 8:00	57	513	0	507	513	522	305	1274	70	27	67	3855	66	1015	-11.1
1/6/2017 9:00	57	512	0	508	514	523	303	1251	70	16	61	3815	72	1015	-11.1
1/6/2017 10:00	57	513	0	508	514	523	182	1155	70	20	77	3619	72	1015	-12.1
1/6/2017 11:00	57	513	0	508	514	523	138	1065	70	24	112	3524	72	1015	-12.1
1/6/2017 12:00	57	513	0	508	514	523	139	1032	70	23	89	3468	72	1016	-12.37
1/6/2017 13:00	57	513	0	508	514	523	138	1058	70	25	79	3485	66	1017	-12.67
1/6/2017 14:00	57	513	0	508	514	523	139	1285	69	28	87	3723	66	1017	-12.67
1/6/2017 15:00	56	512	0	507	513	523	137	1334	69	22	84	3757	66	1018	-11.45
1/6/2017 16:00	56	512	0	507	514	523	237	1341	70	18	71	3849	56	1019	-9.84
1/6/2017 17:00	56	513	0	508	514	521	268	1315	70	22	52	3839	52	1019	-8.66
1/6/2017 18:00	56	513	0	508	513	523	237	1315	70	24	31	3790	48	1019	-7.45
1/6/2017 19:00	56	513	0	506	514	523	139	1187	70	19	48	3575	44	1019	-7.26
1/6/2017 20:00	56	513	0	508	513	523	156	1167	67	19	68	3590	48	1019	-7.24
1/6/2017 21:00	56	512	0	508	514	524	187	1176	66	18	82	3643	44	1020	-6.85
1/6/2017 22:00	56	513	0	508	514	522	204	1186	66	16	73	3658	48	1021	-7.65
1/6/2017 23:00	56	513	0	507	514	524	166	1194	66	18	70	3628	48	1021	-8.84
1/7/2017 0:00	57	513	0	507	513	524	241	1264	66	17	59	3761	52	1023	-9.65
1/7/2017 1:00	56	513	0	507	514	524	220	1223	66	15	50	3688	52	1024	-10.05
1/7/2017 2:00	56	513	0	507	514	524	131	1097	66	15	46	3469	56	1024	-10.26
1/7/2017 3:00	56	512	0	507	514	522	241	1336	66	16	39	3809	61	1025	-10.85
1/7/2017 4:00	57	513	0	505	513	524	180	1298	67	16	39	3712	61	1025	-11.37
1/7/2017 5:00	57	513	0	507	514	523	229	1271	71	15	46	3746	61	1025	-11.63
1/7/2017 6:00	57	513	0	507	514	523	235	1273	72	14	37	3745	61	1026	-12.12
1/7/2017 7:00	57	513	0	507	514	523	120	1208	72	16	38	3568	72	1026	-12.37
1/7/2017 8:00	57	513	0	505	513	521	240	1267	72	15	48	3751	72	1026	-13.16
1/7/2017 9:00	57	513	0	507	514	523	291	1257	72	13	32	3779	66	1027	-13.16
1/7/2017 10:00	57	513	0	507	518	523	168	1149	72	13	21	3541	66	1027	-13.16
1/7/2017 11:00	57	513	0	507	524	523	161	1161	72	19	22	3559	66	1027	-13.91
1/7/2017 12:00	56	512	0	506	514	522	104	1034	72	20	38	3378	72	1027	-13.91
1/7/2017 13:00	57	513	0	506	514	522	140	1065	72	23	47	3459	78	1027	-14.08
1/7/2017 14:00	57	513	0	507	514	523	159	1168	72	29	75	3617	78	1027	-13.87
1/7/2017 15:00	57	512	0	507	514	523	140	1062	72	25	67	3479	78	1028	-12.28
1/7/2017 16:00	57	513	0	507	512	523	146	1070	72	22	63	3485	72	1028	-10.06
1/7/2017 17:00	56	513	0	505	506	522	293	1266	72	20	57	3810	67	1026	-8.07
1/7/2017 18:00	56	513	0	507	503	523	313	1241	70	19	91	3836	62	1026	-7.45
1/7/2017 19:00	57	512	0	507	515	523	225	1218	67	27	58	3709	62	1026	-7.04
1/7/2017 20:00	57	513	0	507	515	521	166	1162	65	34	73	3613	57	1025	-7.24
1/7/2017 21:00	57	512	0	505	515	523	143	1164	63	36	80	3598	57	1025	-7.45
1/7/2017 22:00	56	513	0	507	514	523	139	1067	63	33	85	3500	48	1025	-8.21
1/7/2017 23:00	57	513	0	507	515	523	179	1131	70	33	109	3637	56	1024	-9.03
1/8/2017 0:00	57	513	0	507	514	523	136	1029	72	31	84	3466	66	1024	-9.85
1/8/2017 1:00	57	513	0	507	515	523	138	1091	72	37	122	3575	56	1025	-10.24
1/8/2017 2:00	57	513	0	505	515	524	117	979	72	39	136	3457	61	1026	-10.65
1/8/2017 3:00	56	513	0	507	515	524	113	1021	72	38	47	3406	66	1025	-10.63
1/8/2017 4:00	57	513	0	507	515	522	200	1258	72	36	143	3823	66	1025	-11.1
1/8/2017 5:00	57	512	0	507	514	524	156	1143	72	24	129	3638	72	1024	-11.1
1/8/2017 6:00	57	513	0	507	515	524	123	1102	72	30	122	3565	72	1023	-11.1
1/8/2017 7:00	56	513	0	507	515	524	142	1021	72	37	65	3452	78	1022	-11.1
1/8/2017 8:00	56	513	0	507	515	522	141	985	69	39	76	3423	78	1022	-10.39
1/8/2017 9:00	57	513	0	505	514	523	142	986	69	36	96	3441	67	1022	-9.6
1/8/2017 10:00	57	513	0	507	515	524	141	1017	66	33	123	3496	78	1022	-9.4
1/8/2017 11:00	57	512	0	507	514	524	140	980	65	31	130	3460	78	1023	-9.56
1/8/2017 12:00	56	513	0	507	514	523	141	975	66	32	105	3432	52	1025	-9.86
1/8/2017 13:00	56	513	0	507	514	522	141	998	69	32	97	3449	85	1024	-10.03
1/8/2017 14:00	56	513	0	507	514	524	141	1040	72	32	85	3484	72	1026	-10.19
1/8/2017 15:00	57	513	0	507	515	524	158	1157	72	29	59	3591	72	1026	-10.21
1/8/2017 16:00	56	513	0	507	515	524	235	1313	71	15	33	3782	61	1028	-10.04
1/8/2017 17:00	56	513	0	507	515	524	295	1295	67	10	16	3798	56	1029	-9.64
1/8/2017 18:00	56	511	0	504	515	524	299	1274	65	6	20	3774	47	1030	-9.85
1/8/2017 19:00	56	513	0	507	515	524	307	1256	65	8	16	3767	51	1030	-9.84
1/8/2017 20:00	56	513	0	507	514	524	306	1256	65	9	30	3780	52	1033	-9.45
1/8/2017 21:00	57	513	0	507	515	524	305	1263	65	6	34	3789	61	1033	-9.63
1/8/2017 22:00	57	512	0	507	515	522	305	1272	71	13	38	3812	52	1033	-10.05
1/8/2017 23:00	57	510	0	507	515	524	257	1228	71	19	32	3720	61	1034	-10.84
1/9/2017 0:00	57	513	0	507	515	524	137	1022	72	25	23	3395	47	1035	-11.04
1/9/2017 1:00	57	513	0	507	515	524	155	1062	72	32	23	3460	51	1036	-11.24
1/9/2017 2:00	57	512	0	506	515	524	137	987	72	32	9	3351	56	1036	-12.04
1/9/2017 3:00	57	512	0	508	515	524	136	978	72	35	65	3402	66	1037	-11.64
1/9/2017 4:00	57	512	0	507	515	522	136	1041	71	30	133	3524	66	1037	-11.37
1/9/2017 5:00	57	513	0	506	515	524	135	1008	71	31	137	3497	72	1036	-10.73
1/9/2017 6:00	57	513	0	508	515	524	200	1178	70	35	144	3744	72	1033	-9.92
1/9/2017 7:00	57	512	0	507	515	524	281	1275	67	37	143	3918	67	1034	-9.69
1/9/2017 8:00	56	512	0	505	515	524	305	1291	66	36	144	3954	66	1033	-9.14
1/9/2017 9:00	56	513	0	508	515	523	141	1208	66	36	144	3710	62	1034	-8.63
1/9/2017 10:00	56	512	0	507	515	524	138	1005	68	36	142	3503	61	1033	-7.86
1/9/2017 11:00	57	513	0	503	515	524	137	980	72	37	143	3481	67	1033	-7.9
1/9/2017 12:00	57	513	0	501	516	524	137	1111	73	36	142	3610	67	1032	-7.14
1/9/2017 13:00	57	513	0	501	516	524	161	1186	73	36	142	3709	67	1032	-6.89
1/9/2017 14:00	57	513	0	503	516	524	301	1361	73	35	142	4025	67	1031	-6.32
1/9/2017 15:00	57	513	0	508	516	524	240	1300	73	27	139	3897	79	1030	-6.28
1/9/2017 16:00	57	513	0	508	516	522	301	1357	73	26	133	4006	79	1030	-5.88
1/9/2017 17:00	57	513	0	507	516	524	281	1250	73	21	120	3862	68	1028	-4.91
1/9/2017 18:00	56	513	0	506	516	522	199	1144	73	18	117	3664	68	1028	-4.09
1/9/2017 19:00	56	513	0	508	516	524	138	1030	73	18	120	3496	68	1027	-3.44
1/9/2017 20:00	56	512	0	508	516	524	139	1022	73	23	127	3500	62	1026	-3.02
1/9/2017 21:00	56	512	0	507	514	524	139	988	73	21	128	3462	53	1027	-2.85
1/9/2017 22:00	56	512	0	507	515	523	139	993	73	23	123	3464	58	1027	-3.24
1/9/2017 23:00	57	512	0	506	515	522	139	1021	73	29	126	3500	68	1028	-3.46
1/10/2017 0:00	57	513	0	507	514	524	140	991	73	30	122	3471	68	1028	-3.45
1/10/2017 1:00	57	513	0	507	514	524	140	1002	73	32	115	3477	68	1028	-3.45
1/10/2017 2:00	57	513	0	507	514	524	140	985	73	26	113	3452	68	1028	-3.23
1/10/2017 3:00	57	511	0	508	515	524	140	980	73	24	104	3436	68	1028	-3.25
1/10/2017 4:00	57	512	0	508	516	522	140	1052	73	28	113	3521	68	1028	-2.88
1/10/2017 5:00	56	513	0	508	516	524	140	998	73	34	99	3461	58	1028	-3.12
1/10/2017 6:00	56	513	0	508	516	524	140	986	73	35	138	3489	58	1027	-2.61
1/10/2017 7:00	56	513	0	508	516	524	139	999	73	36	131	3495	58	1027	-2.1
1/10/2017 8:00	56	513	0	508	516	524	139	985	73	37	114	3465	63	1026	-1.84
1/10/2017 9:00	56	512	0	508	516	522	139	977	73	36	133	3472	74	1025	-1.87
1/10/2017 10:00	57	513	0	508	516	524	139	984	73	33	133	3480	84	1025	-1.66
1/10/2017 11:00	57	512	0	508	514	523	138	1250	73	25	136	3736	92	1023	-2.11
1/10/2017 12:00	57	512	0	503	514	521	139	1276	73	31	137	3763	86	1023	-2.15
1/10/2017 13:00	57	510	0	503	512	522	140	994	74	38	142	3492	92	1022	-1.66
1/10/2017 14:00	57	509	0	502	498	522	139	982	73	38	144	3464	92	1021	-1.44
1/10/2017 15:00	57	509	0	503	498	522	138	990	73	36	143	3469	86	1020	-1.07
1/10/2017 16:00	57	510	0	504	503	522	138	1084	73	17	145	3553	69	1018	-0.69
1/10/2017 17:00	57	510	0	504	512	522	138	1028	73	25	144	3513	80	1017	-0.02
1/10/2017 18:00	57	511	0	502	511	522	138	1055	73	27	143	3539	80	1014	0.39
1/10/2017 19:00	57	511	0	504	512	522	220	1390	73	38	142	3969	87	1013	0.35
1/10/2017 20:00	57	509	0	503	512	522	302	1418	73	39	130	4065	100	1011	0.35
1/10/2017 21:00	57	512	0	503	511	522	270	1306	70	39	132	3922	92	1009	0.98
1/10/2017 22:00	57	512	0	503	511	520	184	1135	61	39	122	3644	92	1007	1.76
1/10/2017 23:00	57	512	0	504	512	522	137	1034	58	39	114	3489	100	1007	2.19
1/11/2017 0:00	57	511	0	505	513	522	135	1012	58	37	35	3385	100	1003	3.16
1/11/2017 1:00	57	513	0	506	510	523	136	978	68	26	61	3378	93	1003	3.56
1/11/2017 2:00	57	514	0	507	507	523	137	979	74	37	126	3461	93	1000	4.79
1/11/2017 3:00	56	513	0	507	506	523	137	987	74	39	122	3464	93	999	5.19
1/11/2017 4:00	56	513	0	506	505	521	137	1029	73	39	71	3450	93	999	5.62
1/11/2017 5:00	56	512	0	505	505	523	137	996	71	39	124	3468	87	998	6.38
1/11/2017 6:00	57	513	0	506	505	523	139	1035	71	39	129	3517	87	998	7.15
1/11/2017 7:00	57	513	0	506	504	523	150	1089	71	37	142	3592	80	1002	4.91
1/11/2017 8:00	57	512	0	507	509	523	139	1076	70	30	143	3566	75	1003	4.64
1/11/2017 9:00	57	513	0	507	514	523	139	1036	71	30	142	3532	76	1007	4.14
1/11/2017 10:00	57	513	0	508	515	524	139	1047	71	29	129	3532	69	1009	3.44
1/11/2017 11:00	57	513	0	507	515	523	142	1159	71	30	131	3648	64	1011	3.41
1/11/2017 12:00	57	512	0	507	515	523	137	1014	71	37	129	3502	69	1013	2.66
1/11/2017 13:00	57	513	0	507	514	523	137	1189	71	36	129	3676	74	1015	1.55
1/11/2017 14:00	57	513	0	507	514	523	136	1260	71	38	139	3758	69	1017	1.55
1/11/2017 15:00	57	513	0	507	515	523	159	1142	71	23	143	3653	74	1018	1.76
1/11/2017 16:00	57	513	0	507	514	521	143	1060	71	16	143	3545	69	1019	2.76
1/11/2017 17:00	57	513	0	506	514	523	139	982	71	39	124	3468	74	1020	3.57
1/11/2017 18:00	57	513	0	505	515	521	139	1030	71	39	84	3474	74	1019	3.37
1/11/2017 19:00	57	513	0	507	515	523	139	983	71	39	120	3467	77	1018	3.99
1/11/2017 20:00	57	513	0	508	515	523	140	977	71	39	144	3487	71	1016	4.58
1/11/2017 21:00	57	514	0	508	516	523	139	1029	71	38	144	3539	75	1015	5.17
1/11/2017 22:00	57	513	0	508	516	521	139	1000	71	37	144	3506	69	1015	4.98
1/11/2017 23:00	57	513	0	508	516	523	139	985	71	37	144	3493	71	1014	4.78
1/12/2017 0:00	56	513	0	508	515	523	139	1008	70	39	141	3512	71	1014	4.59
1/12/2017 1:00	56	513	0	506	516	523	139	1026	71	21	134	3505	71	1013	4.78
1/12/2017 2:00	57	512	0	508	516	523	139	988	71	3	129	3446	80	1012	4.99
1/12/2017 3:00	57	513	0	508	515	523	140	1008	71	4	130	3469	86	1010	5.61
1/12/2017 4:00	56	513	0	506	516	522	140	1000	71	6	125	3455	80	1007	4.66
1/12/2017 5:00	56	513	0	508	516	523	140	1002	71	13	81	3423	93	1006	5.22
1/12/2017 6:00	56	513	0	507	515	523	139	1078	71	14	110	3526	93	1006	5.88
1/12/2017 7:00	57	512	0	506	515	523	185	1218	71	10	97	3694	93	1004	6.86
1/12/2017 8:00	56	512	0	506	513	523	297	1341	71	3	31	3853	100	1004	6.88
1/12/2017 9:00	56	513	0	506	525	520	214	1189	73	0	12	3608	100	1004	7.39
1/12/2017 10:00	56	512	0	506	511	522	275	1245	73	2	2	3704	93	1004	6.12
1/12/2017 11:00	56	513	0	506	508	523	302	1409	74	2	6	3899	93	1005	5.37
1/12/2017 12:00	57	513	0	506	512	522	293	1346	73	0	26	3848	100	1006	4.91
1/12/2017 13:00	57	513	0	505	514	522	137	1160	74	2	2	3486	86	1008	5.47
1/12/2017 14:00	56	513	0	506	515	523	138	992	73	9	1	3326	97	1010	4.22
1/12/2017 15:00	56	513	0	506	514	523	138	1025	74	11	14	3374	86	1010	3.18
1/12/2017 16:00	56	512	0	505	515	523	138	1064	73	15	38	3439	80	1011	3.13
1/12/2017 17:00	56	513	0	506	514	523	185	1174	74	21	29	3595	93	1011	3.18
1/12/2017 18:00	57	513	0	506	513	521	167	1223	74	23	42	3639	86	1011	2.57
1/12/2017 19:00	57	513	0	506	513	522	141	1056	73	29	50	3460	86	1010	2.53
1/12/2017 20:00	57	513	0	506	514	522	141	1080	74	34	46	3487	93	1011	2.98
1/12/2017 21:00	57	512	0	506	515	523	225	1286	73	34	37	3768	86	1013	2.99
1/12/2017 22:00	56	512	0	505	513	523	172	1126	73	36	71	3587	96	1014	2.35
1/12/2017 23:00	56	512	0	504	513	523	139	988	74	38	67	3414	86	1015	1.79
1/13/2017 0:00	57	512	0	506	514	523	140	1012	74	39	54	3431	80	1018	1.55
1/13/2017 1:00	57	513	0	504	513	523	140	977	74	39	3	3343	88	1019	1.4
1/13/2017 2:00	57	513	0	506	514	523	140	1029	73	39	0	3394	80	1020	0.57
1/13/2017 3:00	57	512	0	506	514	521	140	984	73	36	0	3343	74	1021	0.56
1/13/2017 4:00	57	513	0	506	514	523	140	979	74	37	0	3343	87	1022	0.15
1/13/2017 5:00	57	513	0	506	514	523	140	997	74	37	9	3370	63	1023	-0.29
1/13/2017 6:00	57	513	0	506	514	523	167	1217	73	34	23	3627	87	1024	-1.1
1/13/2017 7:00	57	512	0	504	514	523	270	1304	73	34	27	3818	68	1025	-1.61
