WHITBYCGS	PICKERINGA-G1	PICKERINGA-G3	PICKERINGB-G5	PICKERINGB-G6	PICKERINGB-G8	BECK1	BECK2	DECEWFALLS	GRAND VALLEY 3	GRANDSF	GRANDWF	SUM	Humidity	Pressure	Temperature
57	513	0	507	514	523	291	1257	72	13	45	32	4346	66	1027	259.84
57	513	0	507	518	523	168	1149	72	13	80	21	4033	66	1027	259.84
57	513	0	507	524	523	161	1161	72	19	82	22	4052	66	1027	259.09
56	512	0	506	514	522	104	1034	72	20	34	38	3500	72	1027	259.09
57	513	0	506	514	522	140	1065	72	23	31	47	3510	78	1027	258.92
57	513	0	507	514	523	159	1168	72	29	29	75	3867	78	1027	259.13
57	512	0	507	514	523	140	1062	72	25	36	67	3998	78	1028	260.72
57	513	0	507	512	523	146	1070	72	22	5	63	4281	72	1028	262.94
56	513	0	505	506	522	293	1266	72	20	0	57	4864	67	1026	264.93
56	513	0	507	503	523	313	1241	70	19	0	91	4868	62	1026	265.55
57	512	0	507	515	523	225	1218	67	27	0	58	4503	62	1026	265.96
57	513	0	507	515	521	166	1162	65	34	0	73	4380	57	1025	265.76
57	512	0	505	515	523	143	1164	63	36	0	80	4365	57	1025	265.55
56	513	0	507	514	523	139	1067	63	33	0	85	3942	48	1025	264.79
57	513	0	507	515	523	179	1131	70	33	0	109	4038	56	1024	263.97
57	513	0	507	514	523	136	1029	72	31	0	84	3867	66	1024	263.15
57	513	0	507	515	523	138	1091	72	37	0	122	3658	56	1025	262.76
57	513	0	505	515	524	117	979	72	39	0	136	3457	61	1026	262.35
56	513	0	507	515	524	113	1021	72	38	0	47	3406	66	1025	262.37
57	513	0	507	515	522	200	1258	72	36	0	143	3823	66	1025	261.9
57	512	0	507	514	524	156	1143	72	24	0	129	3638	72	1024	261.9
57	513	0	507	515	524	123	1102	72	30	0	122	3565	72	1023	261.9
56	513	0	507	515	524	142	1021	72	37	1	65	3453	78	1022	261.9
56	513	0	507	515	522	141	985	69	39	3	76	3438	78	1022	262.61
57	513	0	505	514	523	142	986	69	36	13	96	3477	67	1022	263.4
57	513	0	507	515	524	141	1017	66	33	34	123	3654	78	1022	263.6
57	512	0	507	514	524	140	980	65	31	72	130	3853	78	1023	263.44
56	513	0	507	514	523	141	975	66	32	87	105	4111	52	1025	263.14
56	513	0	507	514	522	141	998	69	32	84	97	4332	85	1024	262.97
56	513	0	507	514	524	141	1040	72	32	74	85	4405	72	1026	262.81
57	513	0	507	515	524	158	1157	72	29	36	59	4563	72	1026	262.79
56	513	0	507	515	524	235	1313	71	15	8	33	4893	61	1028	262.96
56	513	0	507	515	524	295	1295	67	10	0	16	5176	56	1029	263.36
56	511	0	504	515	524	299	1274	65	6	0	20	5192	47	1030	263.15
56	513	0	507	515	524	307	1256	65	8	0	16	5058	51	1030	263.16
56	513	0	507	514	524	306	1256	65	9	0	30	4941	52	1033	263.55
57	513	0	507	515	524	305	1263	65	6	0	34	5032	61	1033	263.37
57	512	0	507	515	522	305	1272	71	13	0	38	4499	52	1033	262.95
57	510	0	507	515	524	257	1228	71	19	0	32	4240	61	1034	262.16
57	513	0	507	515	524	137	1022	72	25	0	23	3476	47	1035	261.96
57	513	0	507	515	524	155	1062	72	32	0	23	3462	51	1036	261.76
57	512	0	506	515	524	137	987	72	32	0	9	3464	56	1036	260.96
57	512	0	508	515	524	136	978	72	35	0	65	3772	66	1037	261.36
57	512	0	507	515	522	136	1041	71	30	0	133	3997	66	1037	261.63
57	513	0	506	515	524	135	1008	71	31	0	137	4132	72	1036	262.27
57	513	0	508	515	524	200	1178	70	35	0	144	4571	72	1033	263.08
57	512	0	507	515	524	281	1275	67	37	1	143	4903	67	1034	263.31
56	512	0	505	515	524	305	1291	66	36	2	144	5166	66	1033	263.86
56	513	0	508	515	523	141	1208	66	36	9	144	4213	62	1034	264.37
56	512	0	507	515	524	138	1005	68	36	12	142	3924	61	1033	265.14
57	513	0	503	515	524	137	980	72	37	28	143	3918	67	1033	265.1
57	513	0	501	516	524	137	1111	73	36	50	142	3753	67	1032	265.86
57	513	0	501	516	524	161	1186	73	36	58	142	3783	67	1032	266.11
57	513	0	503	516	524	301	1361	73	35	25	142	4274	67	1031	266.68
57	513	0	508	516	524	240	1300	73	27	7	139	4586	79	1030	266.72
57	513	0	508	516	522	301	1357	73	26	1	133	5115	79	1030	267.12
57	513	0	507	516	524	281	1250	73	21	0	120	4862	68	1028	268.09
56	513	0	506	516	522	199	1144	73	18	0	117	4528	68	1028	268.91
56	513	0	508	516	524	138	1030	73	18	0	120	4295	68	1027	269.56
56	512	0	508	516	524	139	1022	73	23	0	127	4290	62	1026	269.98
56	512	0	507	514	524	139	988	73	21	0	128	3914	53	1027	270.15
56	512	0	507	515	523	139	993	73	23	0	123	3555	58	1027	269.76
57	512	0	506	515	522	139	1021	73	29	0	126	3500	68	1028	269.54
57	513	0	507	514	524	140	991	73	30	0	122	3471	68	1028	269.55
57	513	0	507	514	524	140	1002	73	32	0	115	3477	68	1028	269.55
57	513	0	507	514	524	140	985	73	26	0	113	3452	68	1028	269.77
57	511	0	508	515	524	140	980	73	24	0	104	3436	68	1028	269.75
57	512	0	508	516	522	140	1052	73	28	0	113	3521	68	1028	270.12
56	513	0	508	516	524	140	998	73	34	0	99	3461	58	1028	269.88
56	513	0	508	516	524	140	986	73	35	0	138	3489	58	1027	270.39
56	513	0	508	516	524	139	999	73	36	0	131	3495	58	1027	270.9
56	513	0	508	516	524	139	985	73	37	3	114	3468	63	1026	271.16
56	512	0	508	516	522	139	977	73	36	8	133	3480	74	1025	271.13
57	513	0	508	516	524	139	984	73	33	8	133	3488	84	1025	271.34
57	512	0	508	514	523	138	1250	73	25	9	136	3745	92	1023	270.89
57	512	0	503	514	521	139	1276	73	31	7	137	3770	86	1023	270.85
57	510	0	503	512	522	140	994	74	38	4	142	3496	92	1022	271.34
57	509	0	502	498	522	139	982	73	38	4	144	3468	92	1021	271.56
57	509	0	503	498	522	138	990	73	36	1	143	3470	86	1020	271.93
57	510	0	504	503	522	138	1084	73	17	0	145	3553	69	1018	272.31
57	510	0	504	512	522	138	1028	73	25	0	144	3513	80	1017	272.98
57	511	0	502	511	522	138	1055	73	27	0	143	3539	80	1014	273.39
57	511	0	504	512	522	220	1390	73	38	0	142	3969	87	1013	273.35
57	509	0	503	512	522	302	1418	73	39	0	130	4065	100	1011	273.35
57	512	0	503	511	522	270	1306	70	39	0	132	3922	92	1009	273.98
57	512	0	503	511	520	184	1135	61	39	0	122	3644	92	1007	274.76
57	512	0	504	512	522	137	1034	58	39	0	114	3489	100	1007	275.19
57	511	0	505	513	522	135	1012	58	37	0	35	3385	100	1003	276.16
57	513	0	506	510	523	136	978	68	26	0	61	3378	93	1003	276.56
57	514	0	507	507	523	137	979	74	37	0	126	3461	93	1000	277.79
56	513	0	507	506	523	137	987	74	39	0	122	3464	93	999	278.19
56	513	0	506	505	521	137	1029	73	39	0	71	3450	93	999	278.62
56	512	0	505	505	523	137	996	71	39	0	124	3468	87	998	279.38
57	513	0	506	505	523	139	1035	71	39	0	129	3517	87	998	280.15
57	513	0	506	504	523	150	1089	71	37	0	142	3592	80	1002	277.91
57	512	0	507	509	523	139	1076	70	30	11	143	3577	75	1003	277.64
57	513	0	507	514	523	139	1036	71	30	38	142	3570	76	1007	277.14
57	513	0	508	515	524	139	1047	71	29	56	129	3588	69	1009	276.44
57	513	0	507	515	523	142	1159	71	30	39	131	3687	64	1011	276.41
57	512	0	507	515	523	137	1014	71	37	38	129	3540	69	1013	275.66
57	513	0	507	514	523	137	1189	71	36	47	129	3723	74	1015	274.55
57	513	0	507	514	523	136	1260	71	38	19	139	3777	69	1017	274.55
57	513	0	507	515	523	159	1142	71	23	9	143	3662	74	1018	274.76
57	513	0	507	514	521	143	1060	71	16	0	143	3545	69	1019	275.76
57	513	0	506	514	523	139	982	71	39	0	124	3468	74	1020	276.57
57	513	0	505	515	521	139	1030	71	39	0	84	3474	74	1019	276.37
57	513	0	507	515	523	139	983	71	39	0	120	3467	77	1018	276.99
57	513	0	508	515	523	140	977	71	39	0	144	3487	71	1016	277.58
57	514	0	508	516	523	139	1029	71	38	0	144	3539	75	1015	278.17
57	513	0	508	516	521	139	1000	71	37	0	144	3506	69	1015	277.98
57	513	0	508	516	523	139	985	71	37	0	144	3493	71	1014	277.78
56	513	0	508	515	523	139	1008	70	39	0	141	3512	71	1014	277.59
56	513	0	506	516	523	139	1026	71	21	0	134	3505	71	1013	277.78
57	512	0	508	516	523	139	988	71	3	0	129	3446	80	1012	277.99
57	513	0	508	515	523	140	1008	71	4	0	130	3469	86	1010	278.61
56	513	0	506	516	522	140	1000	71	6	0	125	3455	80	1007	277.66
56	513	0	508	516	523	140	1002	71	13	0	81	3423	93	1006	278.22
56	513	0	507	515	523	139	1078	71	14	0	110	3526	93	1006	278.88
57	512	0	506	515	523	185	1218	71	10	0	97	3694	93	1004	279.86
56	512	0	506	513	523	297	1341	71	3	2	31	3855	100	1004	279.88
56	513	0	506	525	520	214	1189	73	0	5	12	3613	100	1004	280.39
56	512	0	506	511	522	275	1245	73	2	4	2	3709	93	1004	279.12
56	513	0	506	508	523	302	1409	74	2	3	6	3955	93	1005	278.37
57	513	0	506	512	522	293	1346	73	0	3	26	3914	100	1006	277.91
57	513	0	505	514	522	137	1160	74	2	9	2	3612	86	1008	278.47
56	513	0	506	515	523	138	992	73	9	15	1	3647	97	1010	277.22
56	513	0	506	514	523	138	1025	74	11	7	14	3792	86	1010	276.18
56	512	0	505	515	523	138	1064	73	15	1	38	3869	80	1011	276.13
56	513	0	506	514	523	185	1174	74	21	0	29	4035	93	1011	276.18
57	513	0	506	513	521	167	1223	74	23	0	42	4078	86	1011	275.57
57	513	0	506	513	522	141	1056	73	29	0	50	3900	86	1010	275.53
57	513	0	506	514	522	141	1080	74	34	0	46	3923	93	1011	275.98
57	512	0	506	515	523	225	1286	73	34	0	37	3881	86	1013	275.99
56	512	0	505	513	523	172	1126	73	36	0	71	3611	96	1014	275.35
56	512	0	504	513	523	139	988	74	38	0	67	3446	86	1015	274.79
57	512	0	506	514	523	140	1012	74	39	0	54	3490	80	1018	274.55
57	513	0	504	513	523	140	977	74	39	0	3	3415	88	1019	274.4
57	513	0	506	514	523	140	1029	73	39	0	0	3486	80	1020	273.57
57	512	0	506	514	521	140	984	73	36	0	0	3544	74	1021	273.56
57	513	0	506	514	523	140	979	74	37	0	0	3718	87	1022	273.15
57	513	0	506	514	523	140	997	74	37	0	9	3871	63	1023	272.71
57	513	0	506	514	523	167	1217	73	34	0	23	4126	87	1024	271.9
57	512	0	504	514	523	270	1304	73	34	0	27	4469	68	1025	271.39
57	513	0	506	513	521	234	1236	73	25	15	29	4363	63	1026	271.39
57	513	0	505	514	523	142	1002	73	24	28	24	3900	63	1027	271.14
57	513	0	505	514	523	138	1114	73	24	75	23	4058	54	1030	270.14
57	513	0	506	514	523	138	1061	74	22	67	18	3990	58	1031	269.66
57	512	0	506	513	523	138	1077	73	18	84	17	3704	58	1033	269.66
57	513	0	506	512	523	137	1195	73	18	68	15	3710	53	1034	269.16
57	512	0	506	513	523	137	1175	73	7	39	11	3765	58	1036	268.76
57	512	0	505	514	523	137	1183	73	1	18	12	3931	58	1037	268.97
57	512	0	506	513	522	158	1219	73	2	5	7	4077	49	1038	269.57
57	513	0	505	513	522	269	1309	74	2	0	5	4424	68	1038	270.36
56	513	0	506	514	523	292	1300	73	1	0	5	4435	53	1038	270.18
56	513	0	506	514	523	302	1278	73	1	0	7	4322	49	1038	270.35
57	513	0	506	514	523	263	1263	72	1	0	6	4222	58	1040	269.56
57	513	0	505	514	523	287	1305	72	2	0	8	4422	53	1041	269.18
56	513	0	504	514	521	257	1263	72	1	0	15	4463	73	1040	269.04
56	513	0	506	514	523	205	1203	72	0	0	11	3933	62	1041	268.16
57	513	0	505	513	523	291	1342	72	0	0	10	4070	62	1042	267.57
57	512	0	505	514	523	294	1365	73	0	0	12	4100	62	1042	267.33
57	512	0	503	515	523	282	1361	73	0	0	12	4115	62	1043	266.96
57	512	0	505	513	523	297	1390	73	0	0	10	4296	67	1043	266.36
57	512	0	506	514	521	296	1407	73	0	0	7	4504	62	1042	265.62
57	512	0	505	514	523	141	1150	73	1	0	9	4252	62	1042	265.12
57	513	0	506	513	523	203	1341	73	0	0	10	4738	62	1041	264.11
57	512	0	505	514	523	273	1414	73	0	0	8	5032	62	1041	263.84
57	512	0	506	514	523	296	1392	73	2	3	7	5409	62	1041	263.35
57	511	0	504	514	522	296	1335	73	1	10	8	5394	61	1040	263.11
57	513	0	506	513	521	289	1301	73	2	9	6	5304	61	1040	263.11
57	513	0	506	514	522	267	1396	73	2	9	5	4763	67	1039	263.1
57	512	0	506	513	522	293	1347	73	3	16	0	4696	73	1037	263.24
57	513	0	507	514	522	293	1377	72	3	12	0	4835	66	1037	264.36
57	513	0	505	514	521	293	1314	72	7	11	0	4943	73	1037	264.98
56	512	0	506	514	522	293	1326	72	8	5	0	5076	72	1035	265.37
56	513	0	506	513	522	236	1294	72	9	1	0	4799	73	1036	266.57
57	513	0	506	514	523	274	1272	72	18	0	0	4984	79	1035	267.36
57	512	0	506	514	523	294	1265	72	29	0	0	5044	85	1033	267.76
57	512	0	506	514	523	268	1290	71	32	0	3	4923	85	1031	268.36
57	513	0	506	514	523	286	1286	70	33	0	14	5086	79	1030	269.15
57	513	0	506	514	523	294	1278	69	36	0	21	4863	86	1029	269.55
56	513	0	503	513	522	271	1300	69	37	0	36	4147	79	1029	269.75
56	513	0	506	514	522	183	1181	69	30	0	38	3844	73	1028	269.55
56	513	0	506	514	522	134	1124	69	24	0	29	3724	79	1028	269.14
57	513	0	506	514	521	137	1175	69	21	0	24	3777	73	1028	268.53
57	513	0	506	515	522	153	1392	69	17	0	15	4114	73	1028	267.92
57	513	0	507	515	522	184	1397	70	12	0	9	4329	73	1028	267.3
57	512	0	507	515	520	141	1342	72	10	0	7	4327	73	1028	267.08
56	513	0	506	514	522	142	1086	72	7	0	8	4068	79	1028	266.84
57	512	0	506	514	522	151	1223	72	6	0	13	4218	79	1028	266.33
57	513	0	507	515	522	240	1275	72	3	0	20	4367	73	1028	267.37
57	513	0	507	515	522	263	1291	72	2	13	7	4440	79	1027	267.11
57	513	0	507	514	522	197	1214	72	0	55	2	4296	73	1028	267.36
57	512	0	507	515	521	140	1003	72	0	76	0	4137	79	1028	267.88
57	513	0	507	515	522	276	1296	72	0	32	0	4593	79	1028	268.64
57	512	0	507	514	523	285	1284	72	0	38	1	4278	79	1028	268.12
57	513	0	507	514	523	141	1065	72	2	55	3	3852	79	1029	268.73
57	513	0	506	515	523	138	1060	72	5	40	10	3951	79	1030	269.15
56	513	0	506	515	523	137	1061	72	3	49	10	4194	74	1030	269.93
56	513	0	504	513	521	142	1105	72	2	14	6	4369	74	1030	271.15
56	513	0	504	514	523	264	1240	72	5	0	3	4916	74	1030	271.96
56	513	0	506	514	523	199	1143	72	5	0	9	4798	94	1030	272.15
56	513	0	506	514	523	163	1145	70	6	0	20	4713	94	1029	272.55
57	513	0	505	514	523	143	1111	71	14	0	10	4679	84	1029	272.55
57	512	0	504	514	522	148	1148	71	24	0	5	4720	84	1029	272.75
57	513	0	506	514	523	134	1005	71	32	0	9	4257	84	1028	272.75
57	513	0	506	514	519	134	1073	70	34	0	8	3974	82	1029	272.34
57	513	0	506	515	516	135	1081	72	36	0	13	3920	82	1029	272.34
57	513	0	506	514	516	134	1241	72	33	0	31	4102	63	1028	271.74
57	513	0	506	515	516	284	1408	72	21	0	30	4418	81	1028	271.07
57	513	0	505	514	515	135	1154	72	15	0	35	4104	81	1028	270.26
57	512	0	505	513	515	144	1288	72	10	0	33	4433	81	1028	269.82
57	513	0	506	514	516	133	1072	72	8	0	26	4308	92	1027	269.2
57	513	0	506	514	521	187	1163	72	10	0	24	4469	79	1028	268.35
57	513	0	506	514	523	285	1285	72	12	0	34	4919	74	1028	268.07
57	513	0	504	513	523	303	1247	70	18	9	30	4956	74	1028	267.82
57	512	0	506	514	523	212	1194	67	24	40	30	4744	86	1028	267.32
57	513	0	507	514	523	148	1146	67	19	66	22	4482	86	1028	267.07
56	513	0	506	513	523	240	1339	67	15	72	15	4761	79	1027	267.32
57	513	0	506	514	521	263	1388	67	12	57	21	4497	79	1027	267.32
