sum,Humidity,Pressure,Temperature
3378,93,1003,276.56
3461,93,1000,277.79
3464,93,999,278.19
3450,93,999,278.62
3468,87,998,279.38
3517,87,998,280.15
3592,80,1002,277.91
3577,75,1003,277.64
3570,76,1007,277.14
3588,69,1009,276.44
3687,64,1011,276.41
3540,69,1013,275.66
3723,74,1015,274.55
3777,69,1017,274.55
3662,74,1018,274.76
3545,69,1019,275.76
3468,74,1020,276.57
3474,74,1019,276.37
3467,77,1018,276.99
3487,71,1016,277.58
3539,75,1015,278.17
3506,69,1015,277.98
3493,71,1014,277.78
3512,71,1014,277.59
3505,71,1013,277.78
3446,80,1012,277.99
3469,86,1010,278.61
3455,80,1007,277.66
3423,93,1006,278.22
3526,93,1006,278.88
3694,93,1004,279.86
3855,100,1004,279.88
3613,100,1004,280.39
3709,93,1004,279.12
3955,93,1005,278.37
3914,100,1006,277.91
3612,86,1008,278.47
3647,97,1010,277.22
3792,86,1010,276.18
3869,80,1011,276.13
4035,93,1011,276.18
4078,86,1011,275.57
3900,86,1010,275.53
3923,93,1011,275.98
3881,86,1013,275.99
3611,96,1014,275.35
3446,86,1015,274.79
3490,80,1018,274.55
3415,88,1019,274.4
3486,80,1020,273.57
3544,74,1021,273.56
3718,87,1022,273.15
3871,63,1023,272.71
4126,87,1024,271.9
4469,68,1025,271.39
4363,63,1026,271.39
3900,63,1027,271.14
4058,54,1030,270.14
3990,58,1031,269.66
3704,58,1033,269.66
3710,53,1034,269.16
3765,58,1036,268.76
3931,58,1037,268.97
4077,49,1038,269.57
4424,68,1038,270.36
4435,53,1038,270.18
4322,49,1038,270.35
4222,58,1040,269.56
4422,53,1041,269.18
4463,73,1040,269.04
3933,62,1041,268.16
4070,62,1042,267.57
4100,62,1042,267.33
4115,62,1043,266.96
4296,67,1043,266.36
4504,62,1042,265.62
4252,62,1042,265.12
4738,62,1041,264.11
5032,62,1041,263.84
5409,62,1041,263.35
5394,61,1040,263.11
5304,61,1040,263.11
4763,67,1039,263.1
4696,73,1037,263.24
4835,66,1037,264.36
4943,73,1037,264.98
5076,72,1035,265.37
4799,73,1036,266.57
4984,79,1035,267.36
5044,85,1033,267.76
4923,85,1031,268.36
5086,79,1030,269.15
4863,86,1029,269.55
4147,79,1029,269.75
3844,73,1028,269.55
3724,79,1028,269.14
3777,73,1028,268.53
4114,73,1028,267.92
4329,73,1028,267.3
4327,73,1028,267.08
4068,79,1028,266.84
4218,79,1028,266.33
4367,73,1028,267.37
4440,79,1027,267.11
4296,73,1028,267.36
4137,79,1028,267.88
4593,79,1028,268.64
4278,79,1028,268.12
3852,79,1029,268.73
3951,79,1030,269.15
4194,74,1030,269.93
4369,74,1030,271.15
4916,74,1030,271.96
4798,94,1030,272.15
4713,94,1029,272.55
4679,84,1029,272.55
4720,84,1029,272.75
4257,84,1028,272.75
3974,82,1029,272.34
3920,82,1029,272.34
4102,63,1028,271.74
4418,81,1028,271.07
4104,81,1028,270.26
4433,81,1028,269.82
4308,92,1027,269.2
4469,79,1028,268.35
4919,74,1028,268.07
4956,74,1028,267.82
4744,86,1028,267.32
4482,86,1028,267.07
4761,79,1027,267.32
4497,79,1027,267.32
4359,79,1028,267.08
4448,92,1027,267.76
4430,86,1027,270.35
4327,80,1028,271.96
4533,87,1028,273.36
4628,69,1027,274.77
4613,69,1026,275.57
4659,59,1025,275.97
4532,64,1025,276.36
4506,69,1025,275.76
3989,74,1025,274.76
3929,69,1025,274.13
3938,74,1025,274.15
3831,80,1025,272.53
3858,64,1024,272.72
3831,69,1024,272.34
3905,92,1023,272.17
3950,69,1023,272.59
3994,69,1022,272.11
4315,80,1022,271.79
4459,80,1022,272.11
4431,81,1021,272.03
4490,82,1020,273.58
4518,82,1019,273.16
4494,93,1017,273.74
4465,93,1016,273.74
4962,94,1016,273.97
4755,93,1013,274.14
4891,93,1012,274.13
4716,93,1011,274.37
4916,93,1010,274.36
4866,93,1009,274.56
4299,100,1009,274.58
4114,100,1009,274.78
4077,93,1009,274.77
3925,93,1009,274.58
3869,100,1009,274.56
4027,93,1009,274.56
4261,91,1009,274.75
4333,91,1009,274.4
4314,93,1009,274.37
4487,93,1010,274.13
4454,93,1010,274.38
4746,100,1011,274.38
4668,100,1011,274.38
4598,100,1011,274.38
4583,100,1012,274.61
4125,93,1013,274.86
4257,100,1012,274.94
4389,100,1013,275.17
4615,86,1015,275.73
4746,86,1015,275.75
4557,86,1015,276.13
4348,86,1014,276.36
4361,91,1014,276.16
4480,86,1014,276.15
4428,86,1017,276.54
3954,100,1016,276.15
3840,93,1015,275.96
3935,93,1016,276.15
3805,93,1016,276.15
3788,86,1015,276.15
3911,93,1015,276.15
4096,93,1016,275.89
4393,93,1015,275.89
4529,86,1015,276.39
4706,93,1016,276.15
4785,86,1016,276.15
4902,93,1016,275.89
4950,90,1016,275.64
4395,80,1016,275.63
4313,93,1017,275.42
4423,93,1017,275.13
4410,100,1018,274.75
4456,93,1018,275.35
4520,93,1018,275.54
4861,93,1018,275.76
4736,93,1017,275.98
4758,93,1016,275.76
4641,86,1016,275.55
4381,89,1015,275.55
4104,86,1016,275.74
3967,86,1017,275.13
4229,86,1017,275.15
4382,100,1016,274.76
4311,100,1016,274.95
4064,93,1016,274.74
3891,81,1016,274.66
3803,80,1015,274.66
3997,80,1015,274.66
4096,80,1014,274.66
4272,79,1014,274.66
4497,79,1014,274.66
4460,93,1012,274.64
4682,78,1011,274.65
4763,78,1011,274.66
4694,86,1011,274.74
4582,93,1009,275.34
4406,86,1009,275.74
4394,86,1009,275.74
4588,86,1008,276.35
4145,86,1008,276.36
4024,86,1007,276.55
4220,86,1007,276.75
4312,93,1007,277.15
4169,93,1007,276.98
4152,93,1007,276.96
4239,100,1007,276.55
4288,93,1007,276.54
4105,100,1007,276.15
3910,93,1007,276.37
3810,93,1007,275.91
3870,100,1007,275.91
3972,100,1007,275.92
3865,100,1008,275.64
4053,100,1009,275.88
4173,100,1009,275.88
3857,93,1008,275.65
3938,93,1008,275.59
4139,100,1008,275.9
4062,100,1008,276.14
4428,93,1008,276.11
4420,93,1009,276.53
4216,100,1009,277.21
4206,100,1008,277.39
4212,100,1007,277.78
4217,100,1006,277.76
4201,100,1007,278.77
4187,93,1006,278.81
3890,93,1006,277.56
3783,100,1006,277.34
3789,93,1006,277.55
3799,93,1007,277.33
3838,100,1006,277.12
3812,100,1006,276.92
3853,100,1006,276.63
3866,100,1006,276.35
3865,100,1006,276.4
3845,93,1006,276.36
3893,93,1006,276.9
3917,93,1006,277.41
4277,100,1006,277.39
4112,100,1005,276.92
4138,93,1005,276.89
4153,100,1005,276.34
4178,100,1006,276.15
4281,100,1007,276.74
4300,100,1007,277.34
4300,93,1007,277.57
4461,93,1006,277.78
4352,100,1006,277.78
4239,100,1006,278.2
3943,93,1005,278.57
3853,86,1006,278.56
3820,86,1006,278.36
3866,86,1007,277.74
3793,86,1007,277.75
3840,80,1007,277.15
3821,86,1008,276.54
3779,97,1008,276.15
3822,80,1008,275.93
3971,94,1008,275.66
3971,94,1008,275.16
4328,86,1009,275.11
4241,94,1008,274.92
4220,94,1008,274.92
3983,93,1008,274.92
4138,93,1008,274.91
4434,100,1008,275.35
4519,93,1009,275.36
4345,93,1009,275.58
4243,100,1009,275.97
4574,93,1009,276.38
4608,80,1008,276.76
4309,86,1008,277.17
4734,75,1008,276.96
4531,80,1007,277.58
4180,80,1007,277.36
4139,86,1008,276.15
4288,86,1009,276.15
4043,86,1009,275.75
3961,80,1009,275.56
4089,81,1009,275.34
3980,80,1009,274.65
4210,80,1008,274.64
4710,80,1008,273.63
5176,80,1007,273.64
5066,80,1007,273.14
5137,74,1007,273.14
5133,69,1006,272.88
5064,69,1006,272.88
4483,69,1006,272.88
4059,80,1006,273.18
4148,69,1007,273.15
4379,90,1002,272.657
4502,90,1002,272.657
5255,89,1001,273.489
5328,89,1001,273.489
5236,89,1001,273.489
5561,89,1000,273.59
5315,89,1000,273.59
5161,89,1000,273.59
4119,89,1001,272.758
4042,89,1001,272.758
4234,89,1001,272.758
3878,93,1001,271.316
3818,93,1001,271.316
3881,93,1001,271.316
4013,91,1001,269.788
4232,91,1001,269.788
4501,91,1001,269.788
4394,88,1002,269.749
4486,88,1002,269.749
4348,88,1002,269.749
4309,81,1002,269.189
4433,81,1002,269.189
4906,81,1002,269.189
4680,91,1001,272.475
4792,91,999,274.769
4503,86,1005,276.34
4434,86,1004,277.15
3998,86,1003,277.57
3962,80,1003,277.55
4131,86,1001,277.37
4152,86,1001,277.37
3929,86,999,276.98
3801,86,999,276.96
3973,86,999,276.75
3938,93,998,276.17
3938,93,998,275.75
3912,100,997,275.56
3907,100,996,275.38
3827,93,995,275.66
3903,100,995,275.38
3949,93,995,275.63
4083,100,994,275.66
4090,100,995,275.87
3987,100,994,276.41
3958,100,994,276.43
3914,93,994,276.36
3936,93,994,276.15
3884,93,994,276.17
4012,93,994,275.94
3937,93,994,276.17
4028,94,994,276.38
4061,80,995,276.37
3996,94,995,276.37
3937,80,996,276.17
3960,80,997,275.97
3975,69,998,275.94
3957,69,999,275.94
3953,74,1000,275.76
3928,80,999,275.56
3914,74,1001,275.15
3910,74,1001,275.35
3928,74,1001,275.4
3948,80,1002,274.65
3947,69,1002,274.66
3874,59,1002,273.9
3935,69,1003,273.42
3975,78,1001,273.15
3853,59,1003,273.14
3850,59,1002,272.88
3846,78,1003,272.39
3852,78,1003,272.76
3973,74,1003,272.92
3898,74,1003,273.35
3814,64,1003,274.12
3887,64,1003,274.92
3835,64,1002,274.54
3823,64,1002,274.14
3851,74,1001,274.38
3982,64,1001,274.55
3887,79,1001,274.37
3872,81,1001,273.77
3857,80,1002,273.15
3826,74,1003,273.33
3796,69,1003,272.92
3791,69,1003,272.95
3802,86,1002,272.4
3800,81,1003,272.4
3818,81,1003,272.39
3845,81,1002,272.39
3830,74,1001,272.17
3903,85,1003,271.88
3881,79,1001,271.92
4104,68,1002,271.91
3908,74,1002,271.65
4043,74,1002,271.55
3965,74,1003,271.33
4102,74,1003,271.55
3918,74,1003,271.75
3931,86,1001,271.74
3950,80,1001,271.75
3890,74,1000,272.15
3894,79,1001,272.14
3854,79,1001,272.55
3886,79,1001,272.15
3869,82,1001,272.33
3875,82,1001,271.95
3857,92,1001,271.75
3857,86,1001,271.92
3862,86,1001,271.94
3862,86,1001,271.63
3846,79,1000,271.67
3859,79,1001,271.4
3879,79,1001,271.41
4006,79,1002,270.92
4088,68,1002,270.71
4005,63,1002,269.89
4095,63,1003,269.66
4292,68,1003,269.37
4597,63,1004,269.54
4623,58,1004,269.55
4678,73,1004,269.96
4736,68,1004,269.97
4813,54,1005,270.33
5006,58,1004,270.57
4868,63,1005,270.18
4687,58,1005,270.33
4784,58,1006,269.75
4784,53,1007,269.56
4202,53,1007,268.92
3947,49,1008,268.93
4028,53,1008,268.55
4283,58,1008,267.74
4193,57,1008,267.34
4123,57,1008,266.88
4193,78,1008,266.17
4242,62,1008,266.11
4559,78,1008,265.4
4721,78,1008,264.44
4736,62,1009,263.86
4652,72,1009,262.61
4677,66,1010,262.37
4539,66,1011,262.12
4316,61,1011,262.78
4340,73,1011,262.5
4640,56,1013,263.57
4678,52,1013,264.14
5209,52,1014,265.16
5433,48,1013,265.55
5125,53,1013,266.35
5009,57,1012,267.36
5162,49,1013,268.15
4788,45,1013,268.15
4440,45,1013,267.94
4468,49,1014,266.75
4242,53,1014,265.94
3876,53,1013,265.52
4033,66,1012,265.54
4143,57,1013,265.33
4211,53,1013,264.57
4592,45,1012,265.59
4734,45,1011,265.59
5092,78,1010,266.41
5134,92,1008,266.94
5142,92,1007,267.94
4919,68,1005,267.86
5204,85,1005,267.98
5443,85,1006,267.97
5580,63,1005,268.12
5418,79,1005,268.52
5134,79,1005,269.54
5382,74,1004,269.72
5289,79,1004,270.14
5234,86,1004,270.14
4914,80,1004,270.51
4557,80,1005,270.72
4539,86,1005,270.35
4196,80,1006,270.3
3884,80,1006,270.32
3917,80,1006,270.34
3947,92,1006,269.52
4153,100,1005,269.54
4406,100,1005,269.12
4458,92,1005,269.11
4632,92,1006,268.85
4822,92,1007,268.88
4722,92,1007,268.88
4353,92,1007,269.57
4490,100,1007,269.95
4749,84,1008,269.63
4770,84,1009,270.53
4732,84,1009,271.11
4767,78,1009,270.86
4735,82,1010,271.52
4715,64,1009,273.74
4846,92,1011,273.82
5061,59,1010,273.95
5244,74,1011,274.19
4821,70,1011,274.6
4250,55,1012,274.57
4033,47,1013,274.54
3915,51,1014,274.16
4201,74,1015,273.36
4302,70,1015,272.35
3867,79,1016,272.35
4044,80,1016,271.96
4121,79,1016,271.85
4045,68,1016,271.11
4041,68,1016,270.62
4080,68,1016,270.12
4219,58,1016,269.63
4280,58,1017,269.39
4262,63,1017,268.88
3972,63,1017,268.62
4002,62,1018,267.55
4069,62,1018,268.36
4255,58,1019,268.75
4321,50,1019,269.55
4182,53,1019,269.76
4394,49,1018,270.37
4362,73,1018,269.42
4143,45,1019,269.38
4025,45,1020,268.97
3797,49,1021,268.77
3599,62,1020,268.38
3519,67,1021,267.75
3486,62,1021,267.56
3863,62,1021,267.16
4012,57,1023,267.12
3892,57,1023,266.92
4135,57,1022,267.15
3883,57,1022,267.14
3997,62,1022,266.65
4277,57,1022,266.65
4444,62,1022,266.42
4418,62,1022,265.66
4033,62,1022,265.41
3952,62,1022,264.9
4040,62,1022,264.63
4214,73,1022,264.53
3991,72,1021,264.96
3917,67,1022,265.74
3985,67,1023,266.76
4167,62,1022,267.55
4136,53,1020,268.17
4014,49,1021,268.15
3988,48,1021,268.17
3825,45,1021,267.95
4061,62,1022,267.53
4010,62,1023,266.95
4155,67,1023,266.55
4360,73,1024,265.55
4020,73,1024,265.35
4152,73,1024,265.34
3970,73,1024,265.88
4028,67,1025,265.88
3931,67,1025,265.88
4060,62,1025,266.63
4182,62,1025,266.12
4427,62,1026,266.36
4373,67,1026,266.14
4024,62,1026,266.38
4019,62,1026,265.63
4186,67,1026,265.3
4208,62,1025,265.73
4472,62,1026,266.55
4525,57,1027,266.94
4527,58,1026,268.15
4508,53,1025,268.75
4511,53,1025,269.17
4479,53,1025,269.57
4498,50,1023,269.76
4062,54,1023,270.15
3932,53,1023,269.55
3924,53,1022,269.15
3840,58,1022,268.95
3851,63,1021,268.74
3848,68,1020,268.74
3832,68,1019,269.63
3833,63,1018,270.14
3904,75,1017,270.63
3969,75,1015,271.39
3994,78,1014,271.65
3913,78,1013,271.4
3941,78,1012,271.65
4084,78,1012,271.4
4035,63,1009,271.42
3980,68,1008,271.56
4030,80,1009,270.95
3989,86,1009,271.36
4148,86,1009,271.37
4234,74,1002,272.971
4094,74,1008,272.55
3927,74,1008,272.55
4125,74,1008,273.33
4393,74,1009,273.54
4259,74,1010,273.54
4004,70,1011,273.56
4139,64,1013,273.37
4239,70,1014,272.77
4470,74,1015,272.16
4519,63,1016,271.55
4407,58,1017,270.63
4328,58,1017,269.88
4728,54,1018,269.07
5252,54,1018,269.03
5001,54,1019,268.25
4809,58,1019,267.86
4749,58,1018,267.61
5114,63,1019,266.61
4776,68,1019,267.1
4910,73,1020,267.71
5293,68,1020,268.47
5428,58,1020,269.39
5263,63,1018,270.62
5390,63,1019,270.96
5562,58,1018,271.75
5344,74,1018,272.36
5322,55,1017,273.36
4396,55,1016,273.96
4237,69,1015,273.97
4063,64,1016,273.96
4091,69,1016,273.54
4317,64,1015,272.92
4064,64,1015,272.93
3924,74,1014,272.74
3923,74,1014,273.14
3900,91,1013,273.4
4050,74,1013,273.37
4098,74,1012,273.62
4226,74,1012,273.62
4667,86,1011,273.39
5131,80,1011,273.58
4920,93,1010,273.39
5038,74,1009,273.36
4950,80,1009,273.34
4899,74,1009,272.93
4678,91,1008,272.75
4382,74,1006,272.57
4648,96,1004,272.36
4583,92,1002,271.97
4448,96,1001,271.93
4731,100,998,271.97
4884,95,996,272.12
4619,95,996,272.53
4485,90,994,272.56
4208,90,992,272.95
4242,90,992,273.34
4161,92,991,273.56
3936,100,990,274.19
4041,100,990,273.89
4199,100,990,275.12
4606,100,991,276.42
5037,93,992,276.92
4911,80,996,276.38
4874,86,995,275.88
4996,69,999,275.87
5232,82,1001,274.42
4784,82,1003,273.65
4702,63,1004,272.78
4780,82,1006,272.16
5047,58,1008,271.57
4898,63,1009,271.56
4828,86,1010,271.76
5105,58,1010,271.78
4987,63,1010,271.78
5135,83,1011,271.74
4525,63,1011,270.96
4509,68,1012,270.17
4561,68,1012,269.57
4545,68,1012,268.56
4540,67,1012,268.38
4856,62,1013,267.76
4978,62,1013,267.35
4622,57,1013,266.37
4571,57,1013,265.88
4662,57,1013,265.37
5327,97,1007,263.022
5384,57,1013,264.12
4942,57,1013,262.87
4691,52,1014,262.12
4771,51,1015,261.37
4932,51,1015,261.12
4713,51,1015,261.36
4678,47,1016,261.97
4731,51,1016,261.76
4716,52,1016,263.15
4896,48,1016,264.36
5176,44,1016,265.94
5267,44,1015,266.76
5003,41,1015,267.35
4598,53,1017,267.75
4219,38,1016,267.93
4011,67,1016,267.56
4202,49,1017,266.96
4374,62,1018,266.77
4373,67,1017,266.18
4934,62,1019,266.16
4978,73,1017,266.15
4906,62,1019,266.14
5257,92,1018,265.65
5396,72,1019,265.65
4979,62,1021,265.88
4805,62,1022,265.88
4468,92,1022,265.68
4256,85,1022,265.41
4505,67,1022,265.6
4579,67,1023,265.51
4447,85,1024,265.59
4447,62,1022,266.77
4005,62,1024,267.13
4107,58,1023,267.93
4269,62,1022,268.35
3876,73,1020,268.19
3976,92,1018,267.78
4216,85,1016,268.15
4476,85,1015,268.32
4367,86,1014,268.93
4164,86,1013,269.12
4242,79,1011,269.94
3798,74,1011,270.14
3913,68,1008,271.16
4323,74,1009,271.16
4415,86,1009,271.39
4394,86,1008,271.63
4655,86,1007,271.37
4975,64,1007,272.14
4989,88,1007,271.63
4976,88,1007,271.37
5028,88,1007,271.37
5204,74,1008,271.14
5045,74,1008,271.16
4887,74,1010,271.76
5075,69,1011,272.76
5020,74,1011,273.57
5059,74,1012,274.57
5341,69,1012,275.77
5048,74,1013,276.35
4527,74,1014,276.38
4410,86,1013,275.96
4506,74,1015,275.57
4457,74,1015,275.36
3882,80,1016,275.15
3874,80,1017,274.54
4018,80,1018,274.75
3983,80,1018,274.56
4275,80,1017,274.15
4297,93,1018,273.85
3996,86,1017,272.85
4101,79,1018,271.71
4378,86,1016,271.07
4313,92,1015,270.09
3978,92,1014,269.38
4281,86,1013,269.39
4180,92,1013,268.87
3931,92,1012,269.59
3797,92,1011,269.97
3846,86,1009,270.21
3928,92,1009,270.21
4230,92,1008,270.15
4352,92,1008,270.29
4456,92,1007,270.55
4316,86,1005,270.95
4025,86,1005,271.53
4035,96,1005,271.72
3772,100,1005,271.93
3645,100,1004,272.33
3684,96,1004,273.54
3635,84,1004,274.17
3671,74,1007,273.78
3741,80,1006,272.66
3807,80,1006,272.15
4087,86,1007,271.89
4700,80,1008,271.64
4940,85,1011,272.14
5414,85,1013,271.89
5375,63,1015,271.64
5707,74,1014,271.13
5410,63,1016,270.64
5376,73,1017,270.58
5411,58,1018,270.16
4976,68,1020,269.93
4858,63,1020,269.94
4997,68,1019,270.18
5402,73,1019,269.93
5148,58,1019,270.55
5026,58,1020,270.77
4895,68,1019,271.17
4403,72,1022,270.1691751
3881,77,1027,268.9415876
3947,71,1025,268.0532515
3985,80,1032,266.72
4079,77,1031,265.726
3962,77,1030,266.0615
4100,73,1030,264.6243333
3770,72,1029,264.5166667
4039,75,1014,263.9131295
4278,76,1008,263.615
4313,75,1006,266.311
4536,75,1006,266.311
4370,75,1006,266.311
4443,88,1003,269.172
4393,88,1003,269.172
4157,88,1003,269.172
4230,92,1001,272.636
4657,90,1001,273.067
4474,90,1001,273.067
4567,86,998,275.803
4888,86,998,275.803
4638,86,998,275.803
4697,85,995,276.585
5314,85,995,276.585
4622,85,995,276.585
4634,89,995,275.962
4494,89,995,275.962
4161,89,995,275.962
4284,93,993,275.332
4070,93,993,275.332
3648,93,993,275.332
3644,88,991,274.754
3888,88,991,274.754
3900,88,991,274.754
4480,91,990,272.704
4356,91,990,272.704
4706,91,990,272.704
4747,91,990,272.767
4288,91,990,272.767
4250,91,990,272.767
4264,92,992,272.996
4381,92,992,272.996
4185,94,993,272.266
4276,91,993,273.925
4360,91,993,273.925
4200,91,993,273.925
4141,86,994,272.239
4101,86,994,272.239
4050,86,994,272.239
3806,85,996,270.016
4181,85,996,270.016
4019,85,996,270.016
4187,89,997,269.05
4300,89,997,269.05
4021,89,997,269.05
3970,89,998,267.885
4356,89,998,267.885
4962,89,998,267.885
5063,89,1000,266.089
4750,89,1000,266.089
4771,89,1000,266.089
4889,87,1002,265.056
4558,87,1002,265.056
4513,87,1002,265.056
4852,92,1003,266.871
4883,92,1003,266.871
4689,92,1003,266.871
5016,87,1004,268.219
5422,87,1004,268.219
5474,87,1004,268.219
5230,86,1004,269.48
5288,86,1004,269.48
4580,86,1004,269.48
4239,89,1006,266.805
4333,89,1006,266.805
4230,89,1006,266.805
4124,92,1007,263.699
4335,92,1007,263.699
4456,92,1007,263.699
4069,90,1007,261.489
4398,90,1007,261.489
4705,90,1007,261.489
4635,87,1007,260.981
4573,87,1007,260.981
4807,87,1007,260.981
4679,78,1008,260.229
4548,78,1008,260.229
4590,78,1008,260.229
4101,93,1008,267.453
4381,93,1008,267.453
3996,91,1008,267.736
3936,95,1006,270.672
3787,95,1006,270.672
3695,95,1006,270.672
3851,89,1004,271.542
4060,89,1004,271.542
4112,89,1004,271.542
3970,84,1003,270.358
3759,84,1003,270.358
3578,84,1003,270.358
3558,77,1001,272.439
3641,77,1001,272.439
3613,77,1001,272.439
3565,66,998,270.608
3555,66,998,270.608
3553,66,998,270.608
3602,79,997,272.516
3727,79,997,272.516
3747,79,997,272.516
3756,86,997,275.186
3725,86,997,275.186
3659,86,997,275.186
3624,89,996,278.691
3758,89,996,278.691
3792,86,995,278.376
3761,78,995,282.167
3782,78,995,282.167
3791,78,995,282.167
